COUNTY,ZIPCODE,PWSID,"AnalyticalResultValue.1,1-dichloroethane","AnalyticalResultValue.1,2,3-trichloropropane","AnalyticalResultValue.1,3-butadiene","AnalyticalResultValue.1,4-dioxane",AnalyticalResultValue.17-alpha-ethynylestrad,AnalyticalResultValue.17-beta-estradiol,"AnalyticalResultValue.4-androstene-3,17-dion",AnalyticalResultValue.Aerobic spores,AnalyticalResultValue.E. coli,AnalyticalResultValue.Enterococci,AnalyticalResultValue.Enteroviruses (RT-qPCR,AnalyticalResultValue.Enteroviruses (cell cu,AnalyticalResultValue.HCFC-22,AnalyticalResultValue.Halon 1011,AnalyticalResultValue.Male specific phage,AnalyticalResultValue.Noroviruses GIA,AnalyticalResultValue.Noroviruses GIB,AnalyticalResultValue.Noroviruses GII,AnalyticalResultValue.PFBS,AnalyticalResultValue.PFHpA,AnalyticalResultValue.PFHxS,AnalyticalResultValue.PFNA,AnalyticalResultValue.PFOA,AnalyticalResultValue.PFOS,AnalyticalResultValue.Somatic phage,AnalyticalResultValue.Total coliforms,AnalyticalResultValue.bromomethane,AnalyticalResultValue.chlorate,AnalyticalResultValue.chloromethane,AnalyticalResultValue.chromium,AnalyticalResultValue.chromium-6,AnalyticalResultValue.cobalt,AnalyticalResultValue.equilin,AnalyticalResultValue.estriol,AnalyticalResultValue.estrone,AnalyticalResultValue.germanium,AnalyticalResultValue.manganese,AnalyticalResultValue.molybdenum,AnalyticalResultValue.n-propylbenzene,AnalyticalResultValue.sec-butylbenzene,AnalyticalResultValue.strontium,AnalyticalResultValue.tellurium,AnalyticalResultValue.testosterone,AnalyticalResultValue.vanadium,"indices.1,1-dichloroethane","indices.1,2,3-trichloropropane","indices.1,3-butadiene","indices.1,4-dioxane",indices.17-alpha-ethynylestrad,indices.17-beta-estradiol,"indices.4-androstene-3,17-dion",indices.Aerobic spores,indices.E. coli,indices.Enterococci,indices.Enteroviruses (RT-qPCR,indices.Enteroviruses (cell cu,indices.HCFC-22,indices.Halon 1011,indices.Male specific phage,indices.Noroviruses GIA,indices.Noroviruses GIB,indices.Noroviruses GII,indices.PFBS,indices.PFHpA,indices.PFHxS,indices.PFNA,indices.PFOA,indices.PFOS,indices.Somatic phage,indices.Total coliforms,indices.bromomethane,indices.chlorate,indices.chloromethane,indices.chromium,indices.chromium-6,indices.cobalt,indices.equilin,indices.estriol,indices.estrone,indices.germanium,indices.manganese,indices.molybdenum,indices.n-propylbenzene,indices.sec-butylbenzene,indices.strontium,indices.tellurium,indices.testosterone,indices.vanadium,countyname,state,indices.sum,population
6071,93555,CA3610850,0.12,0.048,0.070710678,4.7,0.000636396,0.000282843,0.000212132,,,,,,0.73,0.28,,,,,0.06363961,0.013,0.021213203,0.014142136,0.042,0.046,,,0.141421356,2500,0.141421356,21,24,1.2,0.002828427,0.000565685,0.001414214,0.707106781,0.707106781,59,0.021213203,0.028284271,2400,0.707106781,0.00015,77,1,1,0,2,0,0,0,,,,,,1,1,,,,,0,1,0,0,1,1,,,0,3,0,3,3,1,0,0,0,0,0,2,0,0,4,0,1,3,SAN BERNARDINO,CA,29,2088371.00
53033,98288,WA5390260,0.021213203,0.021213203,0.070710678,0.077,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.0258,0.241,0.028,0.0215,0.6,,,0.141421356,940,0.26,3.2,0.58,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,91,3,0.021213203,0.028284271,199,0.707106781,0.00053,9,0,0,0,1,0,0,0,,,,,,0,0,,,,,0,1,1,1,1,2,,,0,2,1,2,2,0,0,0,0,0,2,1,0,0,3,0,1,2,KING,WA,23,2044449.00
32003,89183,NV0000175,0.021213203,0.021213203,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.081,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1800,0.141421356,11,12,0.707106781,0.002828427,0.000565685,0.001414214,,,18,,,3100,,0.00013,8.5,0,0,0,0,0,0,0,,,,,,0,1,,,,,0,0,0,0,0,0,,,0,2,0,2,3,0,0,0,0,,,2,,,5,,1,2,CLARK,NV,18,2027868.00
48439,76262,TX2200328,0.0577,0.021213203,0.070710678,0.0897,0.000636396,0.000282843,0.0022,,,,,,7.95,0.52,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,807,0.391,2.8,0.81,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,8.4,3.98,0.021213203,0.028284271,3570,0.707106781,7.07E-05,3.8,1,0,0,1,0,0,1,,,,,,2,1,,,,,0,0,0,0,0,0,,,0,2,1,2,2,0,0,0,0,0,1,1,0,0,5,0,0,2,TARRANT,TX,22,1911541.00
6085,95192,CA4410017,0.097,0.021213203,0.070710678,0.32,0.000636396,0.000282843,0.000212132,,,,,,250,0.12,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1400,0.141421356,38,35,1.1,0.002828427,0.000565685,0.001414214,0.707106781,3,7.2,0.021213203,0.028284271,1400,0.707106781,7.07E-05,19,1,0,0,1,0,0,0,,,,,,4,1,,,,,0,0,0,0,0,0,,,0,2,0,3,4,1,0,0,0,0,1,1,0,0,4,0,0,2,SANTA CLARA,CA,25,1862041.00
12011,33442,FL4134365,0.021213203,0.021213203,0.070710678,0.13,0.000636396,0.000282843,0.000212132,,,,,,0.93,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.021,0.049,,,0.141421356,1300,0.141421356,0.62,0.61,1.1,0.002828427,0.000565685,0.001414214,,,3.3,,,1340,,7.07E-05,3.1,0,0,0,1,0,0,0,,,,,,2,0,,,,,0,0,0,0,1,1,,,0,2,0,1,2,1,0,0,0,,,1,,,4,,0,2,BROWARD,FL,18,1838844.00
48029,78298,TX1630034,0.021213203,0.021213203,0.070710678,0.58,0.000636396,0.000282843,0.000212132,,,,,,0.106,0.0872,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,484,0.141421356,6.3,1.8,1,0.002828427,0.000565685,0.001414214,0.707106781,2,14.8,0.021213203,0.028284271,10800,0.707106781,0.00014,33,0,0,0,1,0,0,0,,,,,,1,1,,,,,0,0,0,0,0,0,,,0,2,0,2,2,1,0,0,0,0,1,2,0,0,5,0,1,3,BEXAR,TX,22,1817610.00
26163,48336,MI0040658,0.031,0.021213203,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.13,0.138,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,442.208,0.141421356,0.8,0.334,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,1.483,3.223,0.021213203,0.028284271,377.08,0.707106781,7.07E-05,1.2,1,0,0,0,0,0,0,,,,,,1,1,,,,,0,0,0,0,0,0,,,0,2,0,1,2,0,0,0,0,0,1,1,0,0,4,0,0,1,WAYNE,MI,15,1775273.00
6001,95035,CA4310005,0.021213203,0.021213203,0.070710678,0.32,0.000636396,0.000282843,0.000212132,,,,,,0.15,0.077,,,,,0.06363961,0.007071068,0.036,0.014142136,0.014142136,0.028284271,,,0.141421356,850,0.141421356,6.2,8.4,0.707106781,0.002828427,0.000565685,0.001414214,,,4,,,1500,,0.0001,4.5,0,0,0,1,0,0,0,,,,,,1,1,,,,,0,0,1,0,0,0,,,0,2,0,2,3,0,0,0,0,,,1,,,4,,1,2,ALAMEDA,CA,19,1578891.00
42101,19154,PA1510001,0.021213203,0.021213203,0.070710678,0.23,0.0012,0.000282843,0.00036,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,503,0.141421356,9.9,0.75,0.707106781,0.002828427,0.000565685,0.001414214,,,1.4,,,215,,0.0002,0.3,0,0,0,1,1,0,1,,,,,,0,0,,,,,0,0,0,0,0,0,,,0,2,0,2,2,0,0,0,0,,,1,,,3,,1,1,PHILADELPHIA,PA,15,1553165.00
