,state,Unnamed: 0,"AnalyticalResultValue.count.1,1-dichloroethane","AnalyticalResultValue.count.1,2,3-trichloropropane","AnalyticalResultValue.count.1,3-butadiene","AnalyticalResultValue.count.1,4-dioxane",AnalyticalResultValue.count.17-alpha-ethynylestrad,AnalyticalResultValue.count.17-beta-estradiol,"AnalyticalResultValue.count.4-androstene-3,17-dion",AnalyticalResultValue.count.Aerobic spores,AnalyticalResultValue.count.E. coli,AnalyticalResultValue.count.Enterococci,AnalyticalResultValue.count.Enteroviruses (RT-qPCR,AnalyticalResultValue.count.Enteroviruses (cell cu,AnalyticalResultValue.count.HCFC-22,AnalyticalResultValue.count.Halon 1011,AnalyticalResultValue.count.Male specific phage,AnalyticalResultValue.count.Noroviruses GIA,AnalyticalResultValue.count.Noroviruses GIB,AnalyticalResultValue.count.Noroviruses GII,AnalyticalResultValue.count.PFBS,AnalyticalResultValue.count.PFHpA,AnalyticalResultValue.count.PFHxS,AnalyticalResultValue.count.PFNA,AnalyticalResultValue.count.PFOA,AnalyticalResultValue.count.PFOS,AnalyticalResultValue.count.Somatic phage,AnalyticalResultValue.count.Total coliforms,AnalyticalResultValue.count.bromomethane,AnalyticalResultValue.count.chlorate,AnalyticalResultValue.count.chloromethane,AnalyticalResultValue.count.chromium,AnalyticalResultValue.count.chromium-6,AnalyticalResultValue.count.cobalt,AnalyticalResultValue.count.equilin,AnalyticalResultValue.count.estriol,AnalyticalResultValue.count.estrone,AnalyticalResultValue.count.germanium,AnalyticalResultValue.count.manganese,AnalyticalResultValue.count.molybdenum,AnalyticalResultValue.count.n-propylbenzene,AnalyticalResultValue.count.sec-butylbenzene,AnalyticalResultValue.count.strontium,AnalyticalResultValue.count.tellurium,AnalyticalResultValue.count.testosterone,AnalyticalResultValue.count.vanadium,"indices.count.1,1-dichloroethane","indices.count.1,2,3-trichloropropane","indices.count.1,3-butadiene","indices.count.1,4-dioxane",indices.count.17-alpha-ethynylestrad,indices.count.17-beta-estradiol,"indices.count.4-androstene-3,17-dion",indices.count.Aerobic spores,indices.count.E. coli,indices.count.Enterococci,indices.count.Enteroviruses (RT-qPCR,indices.count.Enteroviruses (cell cu,indices.count.HCFC-22,indices.count.Halon 1011,indices.count.Male specific phage,indices.count.Noroviruses GIA,indices.count.Noroviruses GIB,indices.count.Noroviruses GII,indices.count.PFBS,indices.count.PFHpA,indices.count.PFHxS,indices.count.PFNA,indices.count.PFOA,indices.count.PFOS,indices.count.Somatic phage,indices.count.Total coliforms,indices.count.bromomethane,indices.count.chlorate,indices.count.chloromethane,indices.count.chromium,indices.count.chromium-6,indices.count.cobalt,indices.count.equilin,indices.count.estriol,indices.count.estrone,indices.count.germanium,indices.count.manganese,indices.count.molybdenum,indices.count.n-propylbenzene,indices.count.sec-butylbenzene,indices.count.strontium,indices.count.tellurium,indices.count.testosterone,indices.count.vanadium,"AnalyticalResultValue.max.1,1-dichloroethane","AnalyticalResultValue.max.1,2,3-trichloropropane","AnalyticalResultValue.max.1,3-butadiene","AnalyticalResultValue.max.1,4-dioxane",AnalyticalResultValue.max.17-alpha-ethynylestrad,AnalyticalResultValue.max.17-beta-estradiol,"AnalyticalResultValue.max.4-androstene-3,17-dion",AnalyticalResultValue.max.Aerobic spores,AnalyticalResultValue.max.E. coli,AnalyticalResultValue.max.Enterococci,AnalyticalResultValue.max.Enteroviruses (RT-qPCR,AnalyticalResultValue.max.Enteroviruses (cell cu,AnalyticalResultValue.max.HCFC-22,AnalyticalResultValue.max.Halon 1011,AnalyticalResultValue.max.Male specific phage,AnalyticalResultValue.max.Noroviruses GIA,AnalyticalResultValue.max.Noroviruses GIB,AnalyticalResultValue.max.Noroviruses GII,AnalyticalResultValue.max.PFBS,AnalyticalResultValue.max.PFHpA,AnalyticalResultValue.max.PFHxS,AnalyticalResultValue.max.PFNA,AnalyticalResultValue.max.PFOA,AnalyticalResultValue.max.PFOS,AnalyticalResultValue.max.Somatic phage,AnalyticalResultValue.max.Total coliforms,AnalyticalResultValue.max.bromomethane,AnalyticalResultValue.max.chlorate,AnalyticalResultValue.max.chloromethane,AnalyticalResultValue.max.chromium,AnalyticalResultValue.max.chromium-6,AnalyticalResultValue.max.cobalt,AnalyticalResultValue.max.equilin,AnalyticalResultValue.max.estriol,AnalyticalResultValue.max.estrone,AnalyticalResultValue.max.germanium,AnalyticalResultValue.max.manganese,AnalyticalResultValue.max.molybdenum,AnalyticalResultValue.max.n-propylbenzene,AnalyticalResultValue.max.sec-butylbenzene,AnalyticalResultValue.max.strontium,AnalyticalResultValue.max.tellurium,AnalyticalResultValue.max.testosterone,AnalyticalResultValue.max.vanadium,"indices.max.1,1-dichloroethane","indices.max.1,2,3-trichloropropane","indices.max.1,3-butadiene","indices.max.1,4-dioxane",indices.max.17-alpha-ethynylestrad,indices.max.17-beta-estradiol,"indices.max.4-androstene-3,17-dion",indices.max.Aerobic spores,indices.max.E. coli,indices.max.Enterococci,indices.max.Enteroviruses (RT-qPCR,indices.max.Enteroviruses (cell cu,indices.max.HCFC-22,indices.max.Halon 1011,indices.max.Male specific phage,indices.max.Noroviruses GIA,indices.max.Noroviruses GIB,indices.max.Noroviruses GII,indices.max.PFBS,indices.max.PFHpA,indices.max.PFHxS,indices.max.PFNA,indices.max.PFOA,indices.max.PFOS,indices.max.Somatic phage,indices.max.Total coliforms,indices.max.bromomethane,indices.max.chlorate,indices.max.chloromethane,indices.max.chromium,indices.max.chromium-6,indices.max.cobalt,indices.max.equilin,indices.max.estriol,indices.max.estrone,indices.max.germanium,indices.max.manganese,indices.max.molybdenum,indices.max.n-propylbenzene,indices.max.sec-butylbenzene,indices.max.strontium,indices.max.tellurium,indices.max.testosterone,indices.max.vanadium,indices.avg,counts.sum,voc.indices.avg,soc.indices.avg,metal.indices.avg,dbp.indices.avg,pfas.indices.avg,horm.indices.avg,indices.sum,name
0,AK,63.5,17.0,17.0,17.0,17.0,12.666666666666664,12.666666666666664,12.666666666666664,,,,,,17.0,17.0,,,,,17.0,17.0,17.0,17.0,17.0,17.0,,,17.0,27.4,17.0,28.0,27.4,28.0,12.666666666666664,12.666666666666664,12.666666666666664,15.0,15.0,28.0,8.0,8.0,28.0,15.0,12.666666666666664,28.0,17.0,17.0,17.0,17.0,12.666666666666664,12.666666666666664,12.666666666666664,,,,,,17.0,17.0,,,,,17.0,17.0,17.0,17.0,17.0,17.0,,,17.0,27.4,17.0,28.0,27.4,28.0,12.666666666666664,12.666666666666664,12.666666666666664,15.0,15.0,28.0,8.0,8.0,28.0,15.0,12.666666666666664,28.0,0.024970562400000004,0.021213202999999996,0.070710678,0.049497475,0.000636396,0.000282843,0.00024475466666666666,,,,,,0.1672548336,0.042426407,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,527.8,0.141421356,1.4862842712000002,0.4346,0.7071067809999999,0.002828427,0.000565685,0.0014142139999999998,0.7071067809999999,33.865,1.6442640686,0.021213202999999996,0.028284271,261.4,0.7071067809999999,7.070000000000001e-05,0.5962842711999999,0.024987747400000003,0.0,0.0,0.0,0.0,0.0,0.004746813,,,,,,0.1764479696,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.2203720198,0.0,0.672128148,0.8833958660000001,0.0,0.0,0.0,0.0,0.0,1.237100845,0.1415140352,0.0,0.0,2.885697152,0.0,0.0,0.3534311732,0.2214061402734488,425.33333333333326,0.028776531,0.0,0.8226943957333333,1.2203720198,0.0,0.0006781161428571428,5.713052114166668,Alaska
1,AL,30.0,54.620689655172406,54.620689655172406,54.620689655172406,54.41379310344828,17.363636363636363,17.363636363636363,17.363636363636363,,,,,,54.620689655172406,54.620689655172406,,,,,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,,,54.620689655172406,105.56896551724138,54.620689655172406,105.08620689655173,105.08620689655173,105.1206896551724,17.363636363636363,17.363636363636363,17.363636363636363,32.12903225806452,32.12903225806452,105.1206896551724,16.06451612903226,16.06451612903226,105.1206896551724,32.12903225806452,17.363636363636363,105.1206896551724,54.620689655172406,54.620689655172406,54.620689655172406,54.41379310344828,17.363636363636363,17.363636363636363,17.363636363636363,,,,,,54.620689655172406,54.620689655172406,,,,,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,54.620689655172406,,,54.620689655172406,105.56896551724138,54.620689655172406,105.08620689655173,105.08620689655173,105.1206896551724,17.363636363636363,17.363636363636363,17.363636363636363,32.12903225806452,32.12903225806452,105.1206896551724,16.06451612903226,16.06451612903226,105.1206896551724,32.12903225806452,17.363636363636363,105.1206896551724,0.032000354155172425,0.021881940879310342,0.07071067800000007,0.4738695142241379,0.0006363960000000004,0.00028284299999999985,0.0002268412727272727,,,,,,0.05656854199999995,0.04441170331034478,,,,,0.07468931896551728,0.010170927379310355,0.021213202999999996,0.014142136000000015,0.02437878813793105,0.04490530903448275,,,0.14142135600000014,812.6755280593104,0.1549693980689657,1.288099865586207,0.6739002276379311,1.1872699895344827,0.002828427000000001,0.0005656849999999999,0.0014142140000000002,0.7071067810000001,121.67201957358067,1.1959979842586206,0.02407729322580645,0.028284270999999982,494.7951689655172,0.7071067810000001,7.069999999999997e-05,0.7176316364827585,0.05588725596551724,0.005190172344827586,0.0,0.421501916,0.0,0.0,0.003762971363636364,,,,,,0.0,0.006344427327586206,,,,,0.027563771396551726,0.06531812432758621,0.0,0.0,0.09783280237931036,0.079604843,,,0.0,1.1693389959482758,0.005190172344827586,0.6092817525172416,1.0893673550689655,0.05988527444827586,0.0,0.0,0.0,0.0,1.4991310020967743,0.09864308398275863,0.018202304193548388,0.0,2.8792112131724137,0.0,0.0,0.4324027445689656,0.29370651183834057,1536.049180327869,0.010373146854679804,0.421501916,0.8614652372931033,1.1693389959482758,0.04505325685057472,0.0005375673376623376,7.525718431852457,Alabama
2,AR,104.5,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,7.411764705882352,7.411764705882352,7.411764705882352,,,,,,13.363636363636365,13.363636363636365,,,,,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,,,13.363636363636365,23.772727272727273,13.363636363636365,23.772727272727273,23.772727272727273,23.772727272727273,7.411764705882352,7.411764705882352,7.411764705882352,17.037037037037038,17.037037037037038,23.772727272727273,10.148148148148149,10.148148148148149,23.772727272727273,17.037037037037038,7.411764705882352,23.772727272727273,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,7.411764705882352,7.411764705882352,7.411764705882352,,,,,,13.363636363636365,13.363636363636365,,,,,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,13.363636363636365,,,13.363636363636365,23.772727272727273,13.363636363636365,23.772727272727273,23.772727272727273,23.772727272727273,7.411764705882352,7.411764705882352,7.411764705882352,17.037037037037038,17.037037037037038,23.772727272727273,10.148148148148149,10.148148148148149,23.772727272727273,17.037037037037038,7.411764705882352,23.772727272727273,0.021213202999999986,0.021213202999999986,0.07071067800000005,0.057713556249999964,0.0006363960000000003,0.000282843,0.00021847717647058816,,,,,,0.05656854199999995,0.042426407,,,,,0.06363961000000004,0.007071068000000009,0.021213202999999986,0.014142136000000015,0.014142136000000015,0.028284270999999975,,,0.1414213560000001,284.8786856800001,0.1482203852727274,2.711977403727272,0.6914617915227272,0.7071067810000001,0.002828427000000001,0.0005656849999999999,0.0014142140000000002,0.7071067810000001,37.65373433792593,1.013623267568182,0.04352284711111111,0.028284270999999982,265.97955454545456,0.7071067810000001,7.070000000000001e-05,6.9987907319090885,0.0,0.0,0.0,0.026174987431818182,0.0,0.0,0.001648748470588235,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.7101654452499999,0.0074028633181818185,0.5272377061136363,0.7844684791136363,0.0,0.0,0.0,0.0,0.0,0.9623673949629628,0.06188159670454545,0.09658130222222222,0.0,2.7022915181136367,0.0,0.0,0.5943428622045454,0.2098269339096336,367.28,0.0010575519025974023,0.026174987431818182,0.7783703603750002,0.7101654452499999,0.0,0.0002355354957983193,5.336682474220002,Arkansas
3,AZ,73.0,689.0,689.0,689.0,689.1666666666665,945.625,945.625,945.625,,,,,,689.0,689.0,,,,,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,,,689.0,1040.25,689.0,1040.5,1037.0833333333333,1040.5,945.625,945.625,945.625,15.142857142857142,15.142857142857142,1040.5,7.7142857142857135,7.7142857142857135,1040.4166666666667,15.142857142857142,945.625,1040.5,689.0,689.0,689.0,689.1666666666665,945.625,945.625,945.625,,,,,,689.0,689.0,,,,,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,689.1666666666665,,,689.0,1040.25,689.0,1040.5,1037.0833333333333,1040.5,945.625,945.625,945.625,15.142857142857142,15.142857142857142,1040.5,7.7142857142857135,7.7142857142857135,1040.4166666666667,15.142857142857142,945.625,1040.5,0.06362436841666667,0.02361210275000001,0.07071067799999999,1.3511658249999998,0.000636396,0.000282843,0.000212132,,,,,,0.505784271,0.09048647191666666,,,,,0.06363960999999999,0.008981812333333334,0.14674323558333333,0.014142136000000001,0.01995178,0.05554653658333333,,,0.14142135599999994,722.0118446350001,0.14142135599999994,21.774999999999995,18.275,1.8177200571666672,0.0028284270000000005,0.0005656849999999999,0.0014142140000000002,0.7071067809999999,63.55,15.041666666666664,0.024339888285714286,0.028284271,3011.666666666666,0.7071067809999999,7.070000000000002e-05,18.041666666666668,0.21434139733333332,0.01848739583333333,0.0,0.6920548451666667,0.0,0.0,0.0,,,,,,0.4416623490000001,0.13168212791666667,,,,,0.0,0.03976010458333334,0.30653813974999994,0.0,0.06484593758333332,0.09727644458333333,,,0.0,1.3548623505,0.0,1.5557826204166665,2.2866206052500004,0.16098307975,0.0,0.0,0.0,0.0,1.1005073447142857,0.9873043367500004,0.022479430714285712,0.0,3.7509264208333333,0.0,0.0,1.837470889916667,0.477326571885544,19731.07692307692,0.1151676100119048,0.6920548451666667,1.7631813254861113,1.3548623505,0.08473677108333333,0.0,13.472930459230774,Arizona
4,CA,155.0,1195.9795918367347,1195.9795918367347,1195.9795918367347,1196.0408163265304,1134.5777777777778,1134.5777777777778,1134.5777777777778,,,,,,1195.9795918367347,1195.9795918367347,,,,,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,,,1195.9795918367347,2035.0612244897961,1195.9795918367347,2033.7959183673472,2035.2040816326528,2033.9387755102039,1134.5777777777778,1134.5777777777778,1134.5777777777778,16.28125,16.28125,2033.9387755102039,9.4375,9.4375,2033.6122448979595,16.28125,1134.5555555555557,2033.8367346938776,1195.9795918367347,1195.9795918367347,1195.9795918367347,1196.0408163265304,1134.5777777777778,1134.5777777777778,1134.5777777777778,,,,,,1195.9795918367347,1195.9795918367347,,,,,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,1195.7346938775509,,,1195.9795918367347,2035.0612244897961,1195.9795918367347,2033.7959183673472,2035.2040816326528,2033.9387755102039,1134.5777777777778,1134.5777777777778,1134.5777777777778,16.28125,16.28125,2033.9387755102039,9.4375,9.4375,2033.6122448979595,16.28125,1134.5555555555557,2033.8367346938776,0.0857509406122449,0.05279364308163262,0.07071067800000007,0.8638254484693878,0.000648920533333334,0.000296779822222222,0.00029992782222222234,,,,,,6.795817887061225,0.19737211771428576,,,,,0.06363961000000004,0.008416607918367356,0.03058655761224492,0.014142136000000015,0.01805684571428573,0.04245955157142856,,,0.38669950195918384,1569.0816326530612,0.8504610239183679,17.955364136979593,13.152448979591831,1.074023764469388,0.0028284269999999984,0.0006013059999999997,0.001414213999999999,1.5957742595625002,172.74267293453124,25.147427776102038,0.021213203,0.028284270999999982,1028.5897959183674,0.7071067810000001,0.00022476666666666666,31.62734693877551,0.2512391474489796,0.12570435922448978,0.0,0.5016788406734694,0.0027764163777777772,0.007932920022222224,0.054401742733333334,,,,,,0.6634716909387754,0.30482146261224485,,,,,0.0,0.02815570061224489,0.061248737081632636,0.0,0.042605709938775514,0.07613302573469387,,,0.11996921706122453,1.7104634933673468,0.19408048836734693,1.5172757032857145,2.241881261918368,0.06706328055102041,0.0,0.00922017986666667,0.0,0.0924078591875,1.0162493093124998,0.8999554499999997,0.0,0.0,3.3676696718775507,0.0,0.11239689871111112,1.8939594787755096,0.4677235626569736,36816.882352941175,0.23704090937900876,0.5016788406734694,1.6646341410680268,1.7104634933673468,0.03469052889455782,0.026675451101587304,14.376103053784306,California
5,CO,202.0,52.8,52.8,52.8,52.8,35.09677419354839,35.09677419354839,35.09677419354839,,,,,,52.8,52.8,,,,,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,,,52.8,103.57142857142857,52.8,103.48571428571428,103.48571428571428,103.6,35.09677419354839,35.09677419354839,35.09677419354839,16.0,16.0,103.65714285714287,8.0,8.0,103.62857142857143,16.0,35.09677419354839,103.57142857142857,52.8,52.8,52.8,52.8,35.09677419354839,35.09677419354839,35.09677419354839,,,,,,52.8,52.8,,,,,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,52.74285714285714,,,52.8,103.57142857142857,52.8,103.48571428571428,103.48571428571428,103.6,35.09677419354839,35.09677419354839,35.09677419354839,16.0,16.0,103.65714285714287,8.0,8.0,103.62857142857143,16.0,35.09677419354839,103.57142857142857,0.03511530568571428,0.021213202999999996,0.07071067800000001,0.18704090928571426,0.0006363960000000006,0.0002828429999999998,0.0002190912258064517,,,,,,0.08765483359999998,0.04786338905714285,,,,,0.06610704971428574,0.009238435542857151,0.04228673425714288,0.014142136000000012,0.017048299657142867,0.06666802694285713,,,0.14142135600000005,602.890716713143,0.14142135600000005,0.4888467118857142,0.30580150891428576,0.8434374346000002,0.002828426999999999,0.0005656849999999999,0.0014142139999999994,0.7071067810000001,19.881675193090906,5.1506183053142855,0.021213203000000003,0.028284270999999993,526.4272857142856,0.7071067810000001,7.452580645161287e-05,2.402257142857142,0.037914805057142856,0.0,0.0,0.15352530179999999,0.0,0.0,0.0018083047741935484,,,,,,0.07349681014285714,0.019372341742857145,,,,,0.006338535714285715,0.03274651531428571,0.05986751722857143,0.0,0.027264071714285715,0.054566382,,,0.0,0.9677116272,0.0,0.28000589248571434,0.6797173494000001,0.030076530171428573,0.0,0.0,0.0,0.0,0.5649160335454545,0.5017967730285715,0.0,0.0,3.1443298414000016,0.0,0.007351184,0.8115778880857144,0.2099237786536507,1385.0,0.018683422420408158,0.15352530179999999,0.9079173790952382,0.9677116272,0.030130503661904763,0.001308498396313364,5.751367602511629,Colorado
6,CT,227.5,311.5,311.5,311.5,280.625,287.5,287.5,287.5,,,,,,311.5,311.5,,,,,313.125,313.125,313.125,313.125,313.125,313.125,,,311.5,546.25,311.5,490.0,488.875,491.0,287.5,287.5,287.5,7.6,7.6,491.0,4.0,4.0,491.0,7.6,287.5,491.0,311.5,311.5,311.5,280.625,287.5,287.5,287.5,,,,,,311.5,311.5,,,,,313.125,313.125,313.125,313.125,313.125,313.125,,,311.5,546.25,311.5,490.0,488.875,491.0,287.5,287.5,287.5,7.6,7.6,491.0,4.0,4.0,491.0,7.6,287.5,491.0,0.0406066015,0.028311552625000007,0.07071067799999999,0.6322487375,0.000636396,0.000282843,0.0006373773333333332,,,,,,0.056568542,0.046535606125,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.14142135599999994,855.25,0.201066017,0.8401776695000001,0.6087500000000001,0.7071067809999999,0.002828427,0.0005656849999999999,0.0014142140000000002,0.7071067809999999,58.3,14.414276695249994,0.04397056240000001,0.028284271,406.125,0.7071067809999999,7.070000000000002e-05,6.505177669499999,0.13772686725,0.051871668499999996,0.0,0.4604471685,0.0,0.0,0.2822624953333333,,,,,,0.0,0.01233046575,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.564706285,0.06968840025,0.5240262695,1.1660311122499998,0.0,0.0,0.0,0.0,0.0,1.6005485156,0.5616293554999999,0.1306425028,0.0,2.9131098472500003,0.0,0.0,1.136442094875,0.3352247025519273,9357.625,0.03880248596428572,0.4604471685,1.0502064465625,1.564706285,0.0,0.040323213619047615,9.891700792625,Connecticut
7,DC,235.0,20.0,20.0,20.0,20.0,8.0,8.0,8.0,,,,,,20.0,20.0,,,,,20.0,20.0,20.0,20.0,20.0,20.0,,,20.0,40.0,20.0,40.0,40.0,40.0,8.0,8.0,8.0,,,40.0,,,40.0,,8.0,40.0,20.0,20.0,20.0,20.0,8.0,8.0,8.0,,,,,,20.0,20.0,,,,,20.0,20.0,20.0,20.0,20.0,20.0,,,20.0,40.0,20.0,40.0,40.0,40.0,8.0,8.0,8.0,,,40.0,,,40.0,,8.0,40.0,0.021213202999999996,0.021213202999999996,0.070710678,0.049497475,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.08,,,,,0.06363961,0.0070710680000000015,0.021213202999999996,0.014142136000000001,0.014142136000000001,0.028284271,,,0.141421356,770.0,0.141421356,0.36,0.12,0.7071067809999999,0.002828427,0.000565685,0.001414214,,,1.2,,,260.0,,7.070000000000001e-05,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.124938737,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.58546073,0.0,0.255272505,0.602059991,0.0,0.0,0.0,0.0,,,0.079181246,,,2.937852093,,0.0,0.812913357,0.2284885235357143,616.0,0.017848390999999998,0.0,0.7812131986666667,1.58546073,0.0,0.0,6.3976786589999985,District of Columbia
8,DE,233.0,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,26.5,26.5,26.5,,,,,,49.33333333333334,49.33333333333334,,,,,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,,,49.33333333333334,79.33333333333333,49.33333333333334,79.33333333333333,79.33333333333333,79.33333333333333,26.5,26.5,26.5,17.0,17.0,79.33333333333333,9.0,9.0,79.33333333333333,17.0,26.5,79.33333333333333,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,26.5,26.5,26.5,,,,,,49.33333333333334,49.33333333333334,,,,,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,49.33333333333334,,,49.33333333333334,79.33333333333333,49.33333333333334,79.33333333333333,79.33333333333333,79.33333333333333,26.5,26.5,26.5,17.0,17.0,79.33333333333333,9.0,9.0,79.33333333333333,17.0,26.5,79.33333333333333,0.04747546866666666,0.021213202999999996,0.070710678,0.8231658250000001,0.000636396,0.000282843,0.000256066,,,,,,0.202189514,0.04961760466666667,,,,,0.06363961,0.031380712000000005,0.240808802,0.027361424,0.056094757333333335,0.6188561806666667,,,0.141421356,424.7140452066667,0.141421356,4.000000000000001,2.24,4.033333333333334,0.002828427,0.000565685,0.001414214,0.7071067809999999,95.5,2.769035593666666,0.021213202999999996,0.028284271,430.102,0.7071067809999999,0.00013535,0.6604737853333333,0.174292915,0.0,0.0,0.664883094,0.0,0.0,0.0,,,,,,0.3346841813333333,0.009342908,,,,,0.0,0.30102999566666666,0.451795886,0.14325076,0.2816993466666667,0.551070838,,,0.0,0.998545065,0.0,0.9416463223333332,1.6128097596666668,0.5864451293333334,0.0,0.0,0.0,0.0,1.7763341080000001,0.3799596956666667,0.0,0.0,3.1187552296666667,0.0,0.150514998,0.4361881376666667,0.4086324809703629,1415.666666666667,0.0740457149047619,0.664883094,1.1793007123888892,0.998545065,0.2881411377222222,0.021502142571428573,12.270965334666665,Delaware
9,FL,261.0,95.72549019607844,95.72549019607844,95.72549019607844,95.66666666666669,100.89189189189187,100.89189189189187,100.89189189189187,,,,,,95.72549019607844,95.72549019607844,,,,,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,,,95.72549019607844,177.27450980392155,95.72549019607844,176.66666666666663,177.37254901960785,176.9607843137255,100.89189189189187,100.89189189189187,100.89189189189187,9.166666666666666,9.166666666666666,176.9607843137255,4.708333333333333,4.708333333333333,176.9803921568627,9.166666666666666,100.89189189189187,176.9607843137255,95.72549019607844,95.72549019607844,95.72549019607844,95.66666666666669,100.89189189189187,100.89189189189187,100.89189189189187,,,,,,95.72549019607844,95.72549019607844,,,,,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,95.80392156862743,,,95.72549019607844,177.27450980392155,95.72549019607844,176.66666666666663,177.37254901960785,176.9607843137255,100.89189189189187,100.89189189189187,100.89189189189187,9.166666666666666,9.166666666666666,176.9607843137255,4.708333333333333,4.708333333333333,176.9803921568627,9.166666666666666,100.89189189189187,176.9607843137255,0.022224449941176463,0.0367455008039216,0.07559870392156869,0.14011974068627447,0.0006363960000000006,0.0002828429999999998,0.0002121320000000001,,,,,,0.24866468568627464,0.10405156613725483,,,,,0.06363961000000004,0.010026278352941186,0.03191779094117647,0.014394250980392171,0.016677220705882373,0.049704693764705855,,,0.14296211372549034,1557.5697191784313,0.2826555467450982,1.4447027982745095,0.6384159451568627,1.1337216695098042,0.002828426999999999,0.0005656849999999999,0.0014142139999999991,0.7071067810000001,18.073272246041665,17.999401861450977,0.02585321929166666,0.028284270999999982,2466.149549019608,0.7071067810000001,7.871351351351348e-05,4.756103217019609,0.007646141294117647,0.05884687843137256,0.009904901529411763,0.2125773015490196,0.0,0.0,0.0,,,,,,0.16836441833333338,0.13834199978431372,,,,,0.0,0.04486977147058823,0.0578619937254902,0.002555564078431373,0.023913670843137246,0.07164451137254901,,,0.0008116212745098039,1.553848992156863,0.11082488043137254,0.6586986413921571,1.045609961529412,0.061241347862745085,0.0,0.0,0.0,0.0,0.9172382736666668,0.7094711271764704,0.03554558504166667,0.0,3.627806330254903,0.0,0.015397750270270268,1.0025960723529408,0.3505432861846324,3109.4901960784314,0.07067726301120449,0.2125773015490196,1.1842372467614375,1.553848992156863,0.03347425191503268,0.0021996786100386095,10.026975918392154,Florida
